Ttle,Year,Reference,Database,Input,Mitigation technique,N participants,Results,Comments,Usefulness in MicroVRide
A Non-Stationary Office Desk Substitution for Desk-Based and HMD-Projected Virtual Reality,2019,Zielasko2019,IEEE,Leaning,Visual-Reference,52,Not significant,Analyzed the use of a virtual desk as a resting frame in a task that was about searching through a data base,Not really because it was tested with all participants seated. No way to know if it would work in ours. this approach would be similar to using a fixed model of the vehicle
Acceleration instead of Speed: Acceleration Visual Cues in VR for Reduced Motion Sickness in Linear Motion,2024,Qiu2024,ACM,None,Predictive-Information,20,Significant,They presented accel and speed cues to the user inside the car watching videos in VR as a passenger,Useful! Show information about acceleration and speed of the vehicle.
Adaptive Field-of-view Restriction: Limiting Optical Flow to Mitigate Cybersickness in Virtual Reality,2022,Wu2022,ACM,Controller (standing),FOV-Restriction,38,Significant,The conventional FOV restriction is circular. they make it asimetric changing the shape in each frame. ,"Useful. Heavily based on computer vision and wold be tricky to implement, but I could tweak it a bit to just darken the sides of the street where most of the motion happens. Like an inverted circle. Results can be applied to MicroVRide becaue in both, travel in linear (travel in a maze, vs travelling in a city). Besides, the participants are standing in this paper"
Adaptive In-Vehicle Virtual Reality for Reducing Motion Sickness: Manipulating Passenger Posture During Driving Events,2024,Elsharkawy2024,ACM,None,Motion-Synchronization,-,-,Passenger watching VR in a car,"Cannot use this one. They make the passenger watching VR in the car do some gestures to the right or left when a turn comes, as if they were mimiquing the driver (who does not get sick). See info in blue in the pdf. Cannot use it because users are already tilting their body to that direction in MicroVR."
Air Cushion: A Pilot Study of the Passive Technique to Mitigate Simulator Sickness by Responding to Vection,2017,Onuki2017,IEEE,None,Haptic-Feedback,5,Significant,Used air cushions to simulate movement in a ship and a roller coaster,Cannot use this one because participants are supposed to be seated on the cushion.
A Virtual Nose as a Rest Frame,2018,Wienrich2018,IEEE,Unknown,Visual-Reference,30,Significant,"The effect occurs when the participant is not hinted about the nose, very relevant!","Useful, careful with not telling participants about the nose. Could be implemented with GarlicVR"
Analysis on Mitigation of Visually Induced Motion Sickness by Applying Dynamical Blurring on a User’s Retina,2020,Nie2020,IEEE,Controller (seated),Visual Blurring,40,Significant,Implemented with computer vision with saliency maps. they dinamically blur non-salient areas of the screen linearly with speed,"Useful, even though I would not implement it like that, I'd try blurring only the sides or the side opposite to turning direction, similar to how focus on real eyes work. "
Analyzing the Effects of Upper Body Movement and Environment Size on VR Sickness Using a Mine Cart Rollercoaster Game,2025,Jaksties2025,ACM,Leaning,Environmental-Modification,31,Not significant,Chaged the scene size in a roller coaster. Users had to lean. ,"Not only not significant, but not useful because our simulator is outdoor, we would have to make it indoor. "
Asymmetric Lateral Field-of-View Restriction to Mitigate Cybersickness During Virtual Turns,2022,Wu_2_2022,IEEE,Controller (standing),FOV-Restriction,93,Significant,The take the common fov symmetric restrictor and move it towards the side the user is turning,"Useful, and they mention in the paper this is specially useful for games with many turns such as ours. "
"AraCar: Multisensory In-Car VR with Thermal, Airflow, and Motion Feedback through Built-In Vehicle Systems",2025,Yeo2025,ACM,None,Haptic-Feedback,24,Significant,"In car VR content with wind, thermal and vibration feedback.Thermal airflow + Seat motion reduced cybersickness","Useful, but only the part of the wind. Soothing and cool airflow, like opening the window in a car. I should add wind to all the scenarios. "
Augmenting Virtual Spatial UIs with Physics- and Direction-Based Visual Motion Cues to Non-Disruptively Mitigate Motion Sickness,2024,Qiu2024_2,ACM,Controller (seated),Predictive-Information,25,Significant,The user is doing math problems while in a chair that rotates,"Useful, but it was tested with users solving math??? WTF, and the chair spinning. It aligns with the other Physical Cues paper though. Would be interesting combine both. Basically, show the current speed and acceleration of the vehicle"
Can Brain Stimulation Reduce VR motion sickness in Healthy Young Adults During an Immersive Relaxation Application? A Study of tACS,2024,Li2024,IEEE,None,Electrical-Stimulation,-,Not significant,Brain stimulation with EEG. ,"Cannot use this one, not only because of the hardware, but because not significant."
Cybersickness Abatement From Repeated Exposure to VR With Reduced Discomfort,2025,Doty2025,IEEE,Controller (seated),Adaptation-Training,125,Significant,"Several days adaptation with FOV the first 3 days, but none the last day.","Not very useful, I prefer to explore more technical approaches since there are already several papers that demonstrate adaptation feasibility, then mine wouldn't be innovative"
